,description,spotify_id,name,no_tracks
1700,"Music from “A Certain Scientific Railgun”, spin-off series of “A Certain Magical Index”.とある街の、とある少女たちの物語。「とある科学の超電磁砲」公式プレイリスト！©KK/K/P-IⅢ",37i9dQZF1DWYxlOuTC0b39,A Certain Scientific Railgun -とある科学の超電磁砲-,34
1701,"Music from “A Certain Magical Index” , the cross over world of magic and science. 科学と魔術が交差するとき、「とある魔術の禁書目録」公式プレイリストが始まる！©KK/K/P-IⅢ",37i9dQZF1DX5s0HSPFCv55,A Certain Magical Index -とある魔術の禁書目録-,37
1702,Enjoy music from “Kantai Collection”! 「艦隊これくしょん -艦これ-」公式プレイリスト！(C)2014 「艦これ」連合艦隊司令部,37i9dQZF1DX90xBJQmqG4P,Kantai Collection 艦隊これくしょん -艦これ-,35
1703,"Enjoy music from ""Panty & Stocking with Garterbelt""! 「パンティ＆ストッキングwithガーターベルト」公式プレイリスト！(C)2010 GAINAX/GEEKS",37i9dQZF1DWZemQW6Onupx,Panty & Stocking with Garterbelt  -パンティ＆ストッキングwithガーターベルト-,43
1704,最新作公開記念！映画ドラえもんを彩ってきた歴代主題歌、挿入歌を集めた公式プレイリスト。Enjoy music from Doraemon The Movie! ©藤子プロ・小学館・テレビ朝日・シンエイ・ADK 2020,37i9dQZF1DWUVNUz8WZk9Y,ドラえもん -Doraemon The Movie-,32
1705,"Music From ""Genesis of Aquarion""!「創聖のアクエリオン」公式プレイリスト！(C)2004 河森正治・サテライト/Project AQUARION",37i9dQZF1DXbLGosqqAN3Q,Genesis of Aquarion -創聖のアクエリオン-,43
1706,Enjoy the world of “Sgt. Frog”! 地球侵略のために派遣された宇宙人・ケロロ軍曹と仲間たちによる物語。オマージュ満載な傑作コメディを彩る歴代OP/ED曲、挿入歌を特集。,37i9dQZF1DX24CU0CSht4f,Sgt. Frog -ケロロ軍曹-,64
1707,"Enjoy music from legendary ""Anpanman"" series! /「それいけ!アンパンマン」から数々の名曲を1つのプレイリストに。
(C)やなせたかし／フレーベル館・TMS・NTV",37i9dQZF1DX73ib6GpVI5Z,みんな集まれ！アンパンマン -Anpanman-,50
1708,"Music from ""Yowamushi Pedal"", a series of cycle road race manga. /自転車ロードレースアニメの金字塔、<a href=""http://yowapeda.com/"">『弱虫ペダル』</a>公式プレイリスト！©渡辺航（週刊少年チャンピオン）／弱虫ペダル04製作委員会",37i9dQZF1DX4jN8Su7sLaI,弱虫ペダル -Yowamushi Pedal-,36
1709,"Music from ""Aikatsu!"", a story of young girls dreaming of becoming a top idol. トップアイドルを目指す少女達の物語、<a href=""http://www.aikatsu.net/01/"">アイカツ！</a>の煌めく世界へ。(C)BNP/BANDAI, DENTSU, TV TOKYO",37i9dQZF1DX6gmUBAHLzQz,Let's Aikatsu! -アイカツ-！,50
1710,"Features greatest hits from the world-famous virtual singer ""HATSUNE MIKU""! /世界を舞台に活躍するバーチャル・シンガー、初音ミクの楽曲を網羅した公式プレイリスト！© Crypton Future Media, INC. <a href=""https://piapro.net/"">www.piapro.net</a>",37i9dQZF1DWZipvLjDtZYe,This Is 初音ミク (HATSUNE MIKU),50
1711,"A selection of chill, lo-fi hip hop tracks from the ""Sakura Chill"" project  / 「サクラチル」の世界観が満載のLo-Fiヒップホップ・プレイリスト。",37i9dQZF1DX87D1EaNZxW1,Tokyo LosT Tracks -Sakura Chill-,80
1712,インターネット・カルチャーから次々と出現するアーティストを特集。Check out artists of the new Internet age!,37i9dQZF1DX1KJ0jRmRVDZ,太陽を見てしまった,60
1713,"<a href=""http://bluegiant.jp/"">BLUE GIANT EXPLORER</a>とSpotifyのコラボ・プレイリスト。
いよいよアメリカに上陸した主人公＝宮本大が愛聴する、新旧のジャズの名曲たち！",37i9dQZF1DXas9apVLvbWp,BLUE GIANT EXPLORER,30
1714,"Welcome to Hypnosismic, a series of Japanese rap battle projects featuring 18 voice actors, each acting out unique anime characters. 男性声優キャララップバトル、ヒプノシスマイク」公式プレイリスト！© King Record Co., Ltd. All rights reserved.",37i9dQZF1DX8f9ryYBYPg3,ヒプノシスマイク Hypnosismic -Division Rap Battle-,85
1715,Music from “BanG Dream! “ series! 次世代ガールズバンドプロジェクト『BanG Dream!（バンドリ！）』公式プレイリスト。,37i9dQZF1DX3JjiT3BYft0,BanG Dream! バンドリ！ガールズバンドパーティ！,59
1716,"Real African vibes, right here. Africa to the world! Cover: <a href=""https://open.spotify.com/artist/523y9KSneKh6APd1hKxLuF?si=f5ONE2nsSr-1zVc_1lsboA"">Master KG</a>",37i9dQZF1DWYkaDif7Ztbp,African Heat,70
1717,"Editor's picks: The best Afropop songs of 2020. Cover: <a href=""https://open.spotify.com/artist/523y9KSneKh6APd1hKxLuF?si=5mS3PCMdTg-4rnrpYBrXZg"">Master KG</a> and <a href=""https://open.spotify.com/artist/4cfKtwkefMW3aiXtxfw8w6?si=MwiHYy27QlyRSMJClm1oqg"">Nomcebo Zikode</a>",37i9dQZF1DXdD040nrEzxm,African Heat Presents... Best Afropop Songs of 2020,74
1718,"The most exciting new artists on the rise from the African continent & diaspora. Cover: <a href=""https://open.spotify.com/artist/2GJMSZ7M3D0KyyKRhYgWju?si=72b74BypQluwufnMm3M8Cw"">Focalistic</a>",37i9dQZF1DWYc8Z858eGwP,Radar Africa,68
1719,Taking you back to your favourite hall party classics from the Afrobeat scene.,37i9dQZF1DWT4nLa3WetIs,Afro Throwback,80
1720,"The fiercest African women making waves. Cover: <a href=""https://open.spotify.com/artist/07MX7XJsNTn8JlgEcbZ7Fd?si=ZgQd7ZXQR3uddDtpR_gwjg"">Midas The Jagaban</a>",37i9dQZF1DX35vibahyjHG,Phenomenal Woman,67
1721,"The biggest Amapiano singles making waves in South Africa and beyond... Cover: <a href=""https://open.spotify.com/artist/2GJMSZ7M3D0KyyKRhYgWju?si=JThAomlRRrGpBT7T6lQphQ"">Focalistic</a>",37i9dQZF1DX5mILnBJLA26,AmaPiano Grooves,69
1722,"Only the hottest South African House and Dance singles out right now. Cover: <a href=""https://open.spotify.com/artist/6wMr4zKPrrR0UVz08WtUWc?si=IlrAmz0HRVSlvy6QsZvadw"">Black Coffee</a>",37i9dQZF1DWX4IFcj5utrY,mint South Africa,79
1723,"Definitive African party starters, perfect for any jollof jam or braai! ""Spray"" money to these hits!",37i9dQZF1DWSjibQnF0bUk,Afro Party Anthems,60
1724,"The biggest Afropop records on the planet.  Cover: <a href=""https://open.spotify.com/artist/07MX7XJsNTn8JlgEcbZ7Fd?si=pLoJiHj0Swu_8YG3s3VmYA"">Midas The Jagaban</a>",37i9dQZF1DWYs2pvwxWA7l,Afropop,75
1725,"Afro sounds crossing borders. Top Afro Bashment, Pop, Fusion / X-Overs from all across the world.  Cover: <a href=""spotify:artist:3wcj11K77LjEY1PkEazffa"">Burna Boy</a>",37i9dQZF1DWT6SJaitNDax,We Everywhere,100
1726,Wine to di riddim,37i9dQZF1DXe9hay4VT07f,Dancehall Party,56
1727,Feel-good Afropop from Europe and Africa. Photo : Fally Ipupa,37i9dQZF1DWX0o6sD1a6P5,Afro Hits,50
1728,"From Lagos to Zambia, find classic African psychedelic rock & funk jams here! Cover: <a href=""spotify:artist:05LK9pT8ScfWNT0UbDsyqe"">Ofege</a>",37i9dQZF1DWVyizF9BJ61m,Afro Psychedelica,50
1729,A collection of old and new R&B cuts from West Africa’s finest artists.,37i9dQZF1DX0SlHbqMm3vJ,Ginger Me,40
1730,"From Fela Kuti to Antibalas, enjoy a collection of timeless Afrobeat music!",37i9dQZF1DX0ItcQfwbKZJ,Afrobeat Essentials,49
1731,The hottest music from the hottest desert. Cover: Tinariwen.,37i9dQZF1DWWuJFsTMqHYX,Sahara,50
1732,"Nostalgic '70-ies and '80-ies Funk, Disco, Boogie and Afropop music which lit up night clubs across Africa. Get your boogie on!",37i9dQZF1DWT6pI50XnTRh,AfroBoogie,50
1733,"The contemporary new wave of alternative, genre-bending and creative afro-fusion music. Cover: <a href=""https://open.spotify.com/artist/3zaDigUwjHvjOkSn0NDf9x?si=76PF7nFySkOfjAyPydXOaw"">Buju</a>",37i9dQZF1DX5ja5oV6Kto0,Altè Cruise,60
